Altium Designer Pick and Place Locations
C:\Repos\SamplingScope\Project Outputs for Sampling_Scope\Pick Place\Pick Place for Sampling_Scope(JLCPCB).txt

========================================================================================================================
File Design Information:

Date:       24/03/21
Time:       22:10
Revision:   dcc4422842999c2a32b4cc46d91e13b29c4c7420
Variant:    JLCPCB
Units used: mm

Designator                           Center-X(mm) Center-Y(mm) Layer    Rotation 
R17_COMP_N                           6.2200mm     15.9975mm    TopLayer 270      
C11_COMP_N                           7.3200mm     15.9975mm    TopLayer 90       
C7_COMP_N                            8.0200mm     22.9975mm    TopLayer 270      
C13_COMP_N                           8.4200mm     18.4975mm    TopLayer 180      
R20_VREF_DAC1                        8.6000mm     34.7000mm    TopLayer 90       
R15_COMP_N                           9.0700mm     19.5475mm    TopLayer 360      
R12_COMP_N                           9.0700mm     20.5475mm    TopLayer 180      
R19_VREF_DAC1                        9.6000mm     30.5000mm    TopLayer 270      
R18_VREF_DAC1                        9.6000mm     34.7000mm    TopLayer 270      
C23_VREF_DAC1                        9.6000mm     32.9000mm    TopLayer 270      
C20_VREF_DAC1                        9.6000mm     42.0000mm    TopLayer 90       
C6_COMP_N                            10.0200mm    24.7975mm    TopLayer 360      
R16_COMP_N                           11.0700mm    19.5475mm    TopLayer 180      
R13_COMP_N                           11.0700mm    20.5475mm    TopLayer 360      
C14_COMP_N                           11.5200mm    18.4975mm    TopLayer 360      
C80_VREF_N                           12.0000mm    27.2000mm    TopLayer 180      
C12_COMP_N                           12.5200mm    14.3975mm    TopLayer 270      
R7_COMP_N                            13.0700mm    19.2975mm    TopLayer 90       
R45_VREF_N                           13.7000mm    26.7000mm    TopLayer 90       
R6_COMP_N                            13.8200mm    15.0475mm    TopLayer 270      
R5_COMP_N                            13.8200mm    17.0475mm    TopLayer 90       
R8_COMP_N                            14.0700mm    19.2975mm    TopLayer 90       
R10_COMP_N                           14.7200mm    14.9975mm    TopLayer 90       
C8_COMP_N                            14.7200mm    12.9975mm    TopLayer 360      
R9_COMP_N                            14.8200mm    17.0475mm    TopLayer 270      
C5_COMP_N                            15.0700mm    19.2975mm    TopLayer 270      
C81_VREF_N                           15.7000mm    26.7000mm    TopLayer 90       
R102                                 16.3000mm    93.7000mm    TopLayer 90       
R103                                 16.4000mm    88.6000mm    TopLayer 360      
C109                                 16.4000mm    87.6000mm    TopLayer 180      
C108                                 16.4000mm    89.6000mm    TopLayer 180      
R46_VREF_N                           16.7000mm    26.7000mm    TopLayer 90       
C79_VREF_N                           18.5000mm    31.0000mm    TopLayer 270      
R107                                 18.6000mm    93.7000mm    TopLayer 360      
C22_VREF_DAC1                        19.0000mm    34.3000mm    TopLayer 360      
C21_VREF_DAC1                        19.0000mm    35.4000mm    TopLayer 360      
C18_VREF_DAC1                        19.0000mm    43.3000mm    TopLayer 360      
C17_VREF_DAC1                        19.0000mm    41.4000mm    TopLayer 360      
C19_VREF_DAC1                        19.0000mm    40.4000mm    TopLayer 360      
C107                                 20.9000mm    93.7000mm    TopLayer 90       
R99                                  21.9000mm    93.7000mm    TopLayer 270      
R20_DELAY_DAC1                       22.0000mm    42.5000mm    TopLayer 90       
R19_DELAY_DAC1                       22.0000mm    40.7000mm    TopLayer 270      
C20_DELAY_DAC1                       22.8000mm    48.6000mm    TopLayer 90       
R98                                  22.9000mm    93.7000mm    TopLayer 270      
R18_DELAY_DAC1                       23.0000mm    40.7000mm    TopLayer 90       
C23_DELAY_DAC1                       23.0000mm    42.5000mm    TopLayer 90       
C43                                  23.3000mm    81.4000mm    TopLayer 180      
R106                                 23.7000mm    91.0000mm    TopLayer 180      
R105                                 23.7000mm    90.0000mm    TopLayer 180      
R104                                 23.7000mm    87.1000mm    TopLayer 180      
R100                                 23.9000mm    93.7000mm    TopLayer 90       
R101                                 24.9000mm    93.7000mm    TopLayer 90       
C50_LDO_ECL                          26.1840mm    82.2000mm    TopLayer 270      
C49_LDO_ECL                          26.1840mm    86.8000mm    TopLayer 90       
R28                                  26.9000mm    94.9000mm    TopLayer 90       
R27                                  26.9000mm    93.1000mm    TopLayer 270      
C48_LDO_ECL                          27.2840mm    84.5000mm    TopLayer 360      
R26_LDO_ECL                          27.6840mm    83.0000mm    TopLayer 270      
R25_LDO_ECL                          27.6840mm    86.0000mm    TopLayer 270      
R4                                   29.1000mm    31.9000mm    TopLayer 360      
R2                                   29.1000mm    32.9000mm    TopLayer 180      
R55                                  29.2000mm    25.1000mm    TopLayer 360      
R51                                  29.2000mm    24.1000mm    TopLayer 180      
C51                                  29.3000mm    91.2000mm    TopLayer 360      
C52                                  30.0000mm    97.2000mm    TopLayer 90       
R109_LDO_ECL                         30.8000mm    81.2000mm    TopLayer 360      
R3                                   30.9000mm    31.9000mm    TopLayer 180      
R1                                   30.9000mm    32.9000mm    TopLayer 360      
R54                                  31.0000mm    24.1000mm    TopLayer 180      
R50                                  31.0000mm    25.1000mm    TopLayer 360      
C47_LDO_ECL                          31.7840mm    84.6000mm    TopLayer 360      
C53                                  31.8000mm    97.2000mm    TopLayer 90       
C18_DELAY_DAC1                       31.9000mm    48.6000mm    TopLayer 90       
C84                                  32.2000mm    32.3000mm    TopLayer 90       
C54                                  32.2000mm    90.6000mm    TopLayer 180      
C22_DELAY_DAC1                       32.3000mm    40.7000mm    TopLayer 360      
C17_DELAY_DAC1                       32.3000mm    47.2000mm    TopLayer 360      
C21_DELAY_DAC1                       32.3000mm    41.7000mm    TopLayer 360      
C19_DELAY_DAC1                       32.3000mm    46.2000mm    TopLayer 360      
C85                                  32.4000mm    24.5000mm    TopLayer 90       
C46_LDO_ECL                          32.5840mm    86.1000mm    TopLayer 360      
C45_LDO_ECL                          32.5840mm    83.1000mm    TopLayer 360      
C104                                 33.1000mm    54.9000mm    TopLayer 90       
